ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
EDMS,small_airport,Straubing Airport,1047,EU,DE,DE-BY,Atting,EDMS,RBM,EDMS,,"48.900833, 12.516667"
EDNY,medium_airport,Friedrichshafen Airport,1367,EU,DE,DE-BW,Friedrichshafen,EDNY,FDH,EDNY,,"47.671299, 9.51149"
EDQD,medium_airport,Bayreuth Airport,1601,EU,DE,DE-BY,Bindlach,EDQD,BYU,EDQD,,"49.985001, 11.64"
EDQE,small_airport,Burg Feuerstein Airport,1673,EU,DE,DE-BY,Ebermannstadt,EDQE,URD,EDQE,,"49.794167, 11.133611"
EDQG,small_airport,Giebelstadt Airport,981,EU,DE,DE-BY,Giebelstadt,EDQG,GHF,EDQG,,"49.6480560303, 9.966388702390002"
EDQM,medium_airport,Hof-Plauen Airport,1959,EU,DE,DE-BY,Hof,EDQM,HOQ,EDQM,,"50.288544, 11.852876"
EDRB,small_airport,Bitburg Airport,1220,EU,DE,DE-RP,Bitburg,EDRB,BBJ,EDRB,,"49.945278, 6.565"
EDRZ,small_airport,Zweibr?cken Airport,1132,EU,DE,DE-RP,Zweibr?cken,EDRZ,ZQW,EDRZ,,"49.2094, 7.40056"
EDSB,medium_airport,Karlsruhe Baden-Baden Airport,408,EU,DE,DE-BW,Rheinm?nster,EDSB,FKB,EDSB,,"48.7794, 8.0805"
EDTL,medium_airport,Lahr Airport,511,EU,DE,DE-BW,Lahr/Schwarzwald,EDTL,LHA,EDTL,,"48.369301, 7.82772"
EDVE,medium_airport,Braunschweig-Wolfsburg Airport,295,EU,DE,DE-NI,Braunschweig,EDVE,BWE,EDVE,,"52.319199, 10.5561"
EDVK,medium_airport,Kassel Airport,820,EU,DE,DE-HE,Calden,EDVK,KSF,EDVK,,"51.420699, 9.392152"
EDWE,small_airport,Emden Airport,3,EU,DE,DE-NI,Emden,EDWE,EME,EDWE,,"53.391109, 7.2275"
EDWG,small_airport,Wangerooge Airport,7,EU,DE,DE-NI,Wangerooge,EDWG,AGE,EDWG,,"53.782544, 7.919584"
EDWI,small_airport,JadeWeser Airport,16,EU,DE,DE-NI,Wilhelmshaven,EDWI,WVN,EDWI,,"53.50222, 8.052222"
EDWJ,small_airport,Juist Airport,7,EU,DE,DE-NI,Juist,EDWJ,JUI,EDWJ,,"53.681421, 7.056398"
EDWL,small_airport,Langeoog Airport,7,EU,DE,DE-NI,Langeoog,EDWL,LGO,EDWL,,"53.742379, 7.496345"
EDWR,small_airport,Borkum Airport,3,EU,DE,DE-NI,Borkum,EDWR,BMK,EDWR,,"53.59639, 6.709167"
EDWS,small_airport,Norden-Norddeich Airport,3,EU,DE,DE-NI,Norddeich,EDWS,NOD,EDWS,,"53.633057, 7.190278"
EDWU,small_airport,Varrelbusch Airfield,128,EU,DE,DE-NI,Cloppenburg,EDWU,VAC,EDWU,,"52.908333, 8.040556"
EDWY,small_airport,Norderney Airport,7,EU,DE,DE-NI,Norderney,EDWY,NRD,EDWY,,"53.706944, 7.23"
EDWZ,small_airport,Baltrum Airport,7,EU,DE,DE-NI,Baltrum,EDWZ,BMR,EDWZ,,"53.72485, 7.373257"
EDXB,small_airport,Heide-B?sum Airport,7,EU,DE,DE-SH,Oesterdeichstrich,EDXB,HEI,EDXB,,"54.153332, 8.901667"
EDXF,small_airport,Flensburg-Sch?ferhaus Airport,131,EU,DE,DE-SH,Flensburg,EDXF,FLF,EDXF,,"54.773335, 9.378889"
EDXH,small_airport,Helgoland-D?ne Airport,8,EU,DE,DE-SH,Helgoland,EDXH,HGL,EDXH,,"54.185279846200004, 7.91583299637"
EDXJ,small_airport,Husum-Schwesing Airport,62,EU,DE,DE-SH,Husum,EDXJ,QHU,EDXJ,,"54.5099983215, 9.138333320620001"
EDXO,small_airport,Sankt Peter-Ording Airport,7,EU,DE,DE-SH,Sankt Peter-Ording,EDXO,PSH,EDXO,,"54.308887, 8.686944"
EDXW,medium_airport,Westerland Sylt Airport,51,EU,DE,DE-SH,Sylt,EDXW,GWT,EDXW,,"54.9132, 8.34047"
EDXY,small_airport,Wyk auf F?hr Airport,26,EU,DE,DE-SH,Wyk auf F?hr,EDXY,OHR,EDXY,,"54.684444, 8.528333"
EECL,heliport,Tallinn Linnahall Heliport,23,EU,EE,EE-37,Tallinn,EECL,CHE,EECL,,"59.448015, 24.753313"
EEKA,medium_airport,K?rdla Airport,18,EU,EE,EE-39,K?rdla,EEKA,KDL,EEKA,,"58.99079895019531, 22.830699920654297"
EEKE,medium_airport,Kuressaare Airport,14,EU,EE,EE-74,Kuressaare,EEKE,URE,EEKE,,"58.22990036010742, 22.50950050354004"
EEPU,medium_airport,P?rnu Airport,47,EU,EE,EE-67,P?rnu,EEPU,EPU,EEPU,,"58.41899871826172, 24.47279930114746"
EETN,large_airport,Lennart Meri Tallinn Airport,131,EU,EE,EE-37,Tallinn,EETN,TLL,EETN,,"59.413246, 24.83264"
EETU,medium_airport,Tartu Airport,220,EU,EE,EE-7B,Reola,EETU,TAY,EETU,,"58.307438, 26.686473"
EFET,medium_airport,Enontekio Airport,1005,EU,FI,FI-10,Enontekio,EFET,ENF,EFET,,"68.362602233887, 23.424299240112"
EFHA,medium_airport,Halli Airport,479,EU,FI,FI-08,J?ms?,EFHA,KEV,EFHA,,"61.856039, 24.786686"
EFHK,large_airport,Helsinki Vantaa Airport,179,EU,FI,FI-18,Helsinki (Vantaa),EFHK,HEL,EFHK,,"60.318363, 24.963341"
EFHV,small_airport,Hyvink?? Airfield,430,EU,FI,FI-18,Hyvink??,EFHV,HYV,EFHV,,"60.6544, 24.8811"
EFIT,medium_airport,Kitee Airport,364,EU,FI,FI-13,Kitee,EFIT,KTQ,EFIT,,"62.1661, 30.073601"
EFIV,medium_airport,Ivalo Airport,481,EU,FI,FI-10,Ivalo,EFIV,IVL,EFIV,,"68.607299804688, 27.405300140381"
EFJO,medium_airport,Joensuu Airport,398,EU,FI,FI-13,Joensuu,EFJO,JOE,EFJO,,"62.658815, 29.619398"
EFJY,medium_airport,Jyv?skyl? Airport,459,EU,FI,FI-08,Jyv?skyl?n Maalaiskunta,EFJY,JYV,EFJY,,"62.399502, 25.678301"
EFKA,medium_airport,Kauhava Airfield,151,EU,FI,FI-03,Kauhava,EFKA,KAU,EFKA,,"63.127102, 23.051399"
EFKE,medium_airport,Kemi-Tornio Airport,61,EU,FI,FI-10,Kemi / Tornio,EFKE,KEM,EFKE,,"65.778701782227, 24.582099914551"
EFKI,medium_airport,Kajaani Airport,483,EU,FI,FI-05,Kajaani,EFKI,KAJ,EFKI,,"64.2855, 27.6924"
EFKJ,medium_airport,Kauhajoki Airfield,407,EU,FI,FI-03,Kauhajoki,EFKJ,KHJ,EFKJ,,"62.463212, 22.390817"
EFKK,medium_airport,Kokkola-Pietarsaari Airport,84,EU,FI,FI-07,Kokkola / Kruunupyy,EFKK,KOK,EFKK,,"63.721199, 23.143101"
EFKS,medium_airport,Kuusamo Airport,866,EU,FI,FI-14,Kuusamo,EFKS,KAO,EFKS,,"65.987602, 29.239401"
EFKT,medium_airport,Kittil? Airport,644,EU,FI,FI-10,Kittil?,EFKT,KTT,EFKT,,"67.700996398926, 24.846799850464"
EFKU,medium_airport,Kuopio Airport,323,EU,FI,FI-15,Kuopio / Siilinj?rvi,EFKU,KUO,EFKU,,"63.007099, 27.7978"
EFLP,medium_airport,Lappeenranta Airport,349,EU,FI,FI-02,Lappeenranta,EFLP,LPP,EFLP,,"61.044601, 28.144743"
EFMA,medium_airport,Mariehamn Airport,17,EU,FI,FI-01,Mariehamn,EFMA,MHQ,EFMA,,"60.1222, 19.898199"
EFMI,medium_airport,Mikkeli Airport,329,EU,FI,FI-04,Mikkeli,EFMI,MIK,EFMI,,"61.6866, 27.201799"
EFOU,medium_airport,Oulu Airport,47,EU,FI,FI-14,Oulu / Oulunsalo,EFOU,OUL,EFOU,,"64.930099, 25.354601"
EFPO,medium_airport,Pori Airport,44,EU,FI,FI-17,Pori,EFPO,POR,EFPO,,"61.4617, 21.799999"
EFRO,medium_airport,Rovaniemi Airport,642,EU,FI,FI-10,Rovaniemi,EFRO,RVN,EFRO,,"66.564796447754, 25.830400466919"
EFSA,medium_airport,Savonlinna Airport,311,EU,FI,FI-04,Savonlinna,EFSA,SVL,EFSA,,"61.9431, 28.945101"
EFSI,medium_airport,Sein?joki Airport,302,EU,FI,FI-03,Sein?joki / Ilmajoki,EFSI,SJY,EFSI,,"62.692101, 22.8323"
EFSO,medium_airport,Sodankyla Airport,602,EU,FI,FI-10,Sodankyla,EFSO,SOT,EFSO,,"67.3949966431, 26.6191005707"
EFTP,medium_airport,Tampere-Pirkkala Airport,390,EU,FI,FI-11,Tampere / Pirkkala,EFTP,TMP,EFTP,,"61.414101, 23.604401"
EFTU,medium_airport,Turku Airport,161,EU,FI,FI-19,Turku,EFTU,TKU,EFTU,,"60.514099, 22.2628"
EFUT,medium_airport,Utti Air Base,339,EU,FI,FI-09,Utti / Valkeala,EFUT,UTI,EFUT,,"60.8964, 26.9384"
EFVA,medium_airport,Vaasa Airport,19,EU,FI,FI-12,Vaasa,EFVA,VAA,EFVA,,"63.050701, 21.762199"
EFVR,medium_airport,Varkaus Airport,286,EU,FI,FI-04,Varkaus / Joroinen,EFVR,VRK,EFVR,,"62.171101, 27.868601"
EFYL,medium_airport,Ylivieska Airfield,252,EU,FI,FI-14,Ylivieska,EFYL,YLI,EFYL,,"64.054722, 24.725278"
EGAA,large_airport,Belfast International Airport,268,EU,GB,GB-NIR,Belfast,EGAA,BFS,EGAA,,"54.6575012207, -6.2158298492399995"
EGAB,medium_airport,Enniskillen/St Angelo Airport,155,EU,GB,GB-NIR,Enniskillen,EGAB,ENK,EGAB,,"54.398899, -7.65167"
EGAC,medium_airport,George Best Belfast City Airport,15,EU,GB,GB-NIR,Belfast,EGAC,BHD,EGAC,,"54.618099, -5.8725"
EGAE,medium_airport,City of Derry Airport,22,EU,GB,GB-NIR,Derry,EGAE,LDY,EGAE,,"55.04280090332031, -7.161109924316406"
EGBB,large_airport,Birmingham Airport,327,EU,GB,GB-ENG,"Birmingham, West Midlands",EGBB,BHX,EGBB,,"52.453899, -1.74803"
EGBE,medium_airport,Coventry Airport,267,EU,GB,GB-ENG,"Coventry, West Midlands",EGBE,CVT,EGBE,,"52.369701, -1.47972"
EGBJ,medium_airport,Gloucestershire Airport,101,EU,GB,GB-ENG,Staverton,EGBJ,GLO,EGBJ,,"51.89419937133789, -2.167220115661621"
EGBK,small_airport,Sywell Aerodrome,429,EU,GB,GB-ENG,"Northampton, Northamptonshire",EGBK,ORM,EGBK,,"52.305302, -0.793056"
EGBN,medium_airport,Nottingham Airport,138,EU,GB,GB-ENG,Nottingham,EGBN,NQT,EGBN,,"52.919998, -1.07917"
EGBP,small_airport,Cotswold Airport,433,EU,GB,GB-ENG,"Cirencester, Gloucestershire",EGBP,GBA,EGBP,,"51.668528, -2.056599"
EGCC,large_airport,Manchester Airport,257,EU,GB,GB-ENG,"Manchester, Greater Manchester",EGCC,MAN,EGCC,,"53.349375, -2.279521"
EGDJ,small_airport,Upavon Aerodrome,574,EU,GB,GB-ENG,"Pewsey, Wiltshire",EGDJ,UPV,EGDJ,,"51.28657, -1.782239"
EGDY,medium_airport,RNAS Yeovilton,75,EU,GB,GB-ENG,"Yeovil, Somerset",EGDY,YEO,EGDY,,"51.009399, -2.63882"
EGEC,medium_airport,Campbeltown Airport,42,EU,GB,GB-SCT,Campbeltown,EGEC,CAL,EGEC,,"55.437198638916016, -5.686389923095703"
EGED,medium_airport,Eday Airport,10,EU,GB,GB-SCT,Eday,EGED,EOI,EGED,,"59.19060134887695, -2.7722198963165283"
EGEF,small_airport,Fair Isle Airport,223,EU,GB,GB-SCT,Fair Isle,EGEF,FIE,EGEF,,"59.534721, -1.628509"
EGEH,small_airport,Whalsay Airstrip,100,EU,GB,GB-SCT,"Whalsay, Shetlands",EGEH,WHS,EGEH,,"60.376835, -0.927229"
EGEI,small_airport,Broadford Airstrip,24,EU,GB,GB-SCT,Ashaig,EGEI,SKL,EGEI,,"57.253399, -5.8279"
EGEN,small_airport,North Ronaldsay Airport,40,EU,GB,GB-SCT,North Ronaldsay,EGEN,NRL,EGEN,,"59.3675003052, -2.43443989754"
EGEO,small_airport,Oban Airport,20,EU,GB,GB-SCT,North Connel,EGEO,OBN,EGEO,,"56.463501, -5.39967"
EGEP,small_airport,Papa Westray Airport,91,EU,GB,GB-SCT,Papa Westray,EGEP,PPW,EGEP,,"59.351699829100006, -2.9002799987800003"
EGER,small_airport,Stronsay Airport,39,EU,GB,GB-SCT,Stronsay,EGER,SOY,EGER,,"59.1553, -2.64139"
EGES,small_airport,Sanday Airport,68,EU,GB,GB-SCT,Sanday,EGES,NDY,EGES,,"59.250301, -2.57667"
EGET,small_airport,Lerwick / Tingwall Airport,43,EU,GB,GB-SCT,Sumburgh,EGET,LWK,EGET,,"60.1922, -1.24361"
EGEW,small_airport,Westray Airport,29,EU,GB,GB-SCT,Westray,EGEW,WRY,EGEW,,"59.3502998352, -2.95000004768"
EGFE,medium_airport,Haverfordwest Airport,159,EU,GB,GB-WLS,Haverfordwest,EGFE,HAW,EGFE,,"51.833099365234375, -4.9611101150512695"
EGFF,medium_airport,Cardiff International Airport,220,EU,GB,GB-WLS,"Rhoose, Vale of Glamorgan",EGFF,CWL,EGFF,,"51.396702, -3.34333"
EGFH,medium_airport,Swansea Airport,299,EU,GB,GB-WLS,Swansea,EGFH,SWS,EGFH,,"51.601366, -4.071006"
EGGD,medium_airport,Bristol Airport,622,EU,GB,GB-ENG,Bristol,EGGD,BRS,EGGD,,"51.382702, -2.71909"
EGGP,medium_airport,Liverpool John Lennon Airport,80,EU,GB,GB-ENG,Liverpool,EGGP,LPL,EGGP,,"53.333599, -2.84972"
EGGW,large_airport,London Luton Airport,526,EU,GB,GB-ENG,"Luton, Bedfordshire",EGGW,LTN,EGGW,,"51.874699, -0.368333"
EGHC,small_airport,Land's End Airport,398,EU,GB,GB-ENG,"Land's End, Cornwall",EGHC,LEQ,EGHC,,"50.102798, -5.67056"
EGHE,small_airport,St. Mary's Airport,116,EU,GB,GB-ENG,St. Mary's,EGHE,ISC,EGHE,,"49.9133, -6.29167"
EGHH,medium_airport,Bournemouth Airport,38,EU,GB,GB-ENG,"Christchurch, Dorset",EGHH,BOH,EGHH,,"50.780483, -1.839576"
EGHI,medium_airport,Southampton Airport,44,EU,GB,GB-ENG,Southampton,EGHI,SOU,EGHI,,"50.950298, -1.3568"
EGHJ,small_airport,Bembridge Airport,53,EU,GB,GB-ENG,"Bembridge, Isle of Wight",EGHJ,BBP,EGHJ,,"50.678101, -1.10944"
EGHQ,medium_airport,Cornwall Airport Newquay,390,EU,GB,GB-ENG,Newquay,EGHQ,NQY,EGHQ,,"50.440601, -4.99541"
EGHR,small_airport,Goodwood Aerodrome,98,EU,GB,GB-ENG,"Chichester, West Sussex",EGHR,QUG,EGHR,,"50.859832, -0.760073"
EGJA,medium_airport,Alderney Airport,290,EU,GG,GG-A,Saint Anne,EGJA,ACI,EGJA,,"49.706104, -2.21472"
EGJB,medium_airport,Guernsey Airport,336,EU,GG,GG-G,Saint Peter Port,EGJB,GCI,EGJB,,"49.435001, -2.60197"
EGJJ,medium_airport,Jersey Airport,277,EU,JE,JE-U-A,Saint Helier,EGJJ,JER,EGJJ,,"49.20790100097656, -2.195509910583496"
EGKA,medium_airport,Brighton City Airport,7,EU,GB,GB-ENG,"Brighton, East Sussex",EGKA,ESH,EGKA,,"50.835602, -0.297222"
EGKB,medium_airport,London Biggin Hill Airport,598,EU,GB,GB-ENG,London,EGKB,BQH,EGKB,,"51.33079910279999, 0.0324999988079"
EGKK,large_airport,London Gatwick Airport,202,EU,GB,GB-ENG,London,EGKK,LGW,EGKK,,"51.148771, -0.192089"
EGLC,medium_airport,London City Airport,19,EU,GB,GB-ENG,London,EGLC,LCY,EGLC,,"51.505299, 0.055278"
EGLF,medium_airport,Farnborough Airport,238,EU,GB,GB-ENG,"Farnborough, Hampshire",EGLF,FAB,EGLF,,"51.275799, -0.776333"
EGLK,medium_airport,Blackbushe Airport,325,EU,GB,GB-ENG,"Camberley, Surrey",EGLK,BBS,EGLK,,"51.323898, -0.8475"
EGLL,large_airport,London Heathrow Airport,83,EU,GB,GB-ENG,London,EGLL,LHR,EGLL,,"51.4706, -0.461941"
EGMC,medium_airport,London Southend Airport,49,EU,GB,GB-ENG,"Southend-on-Sea, Essex",EGMC,SEN,EGMC,,"51.570562, 0.693627"
EGMD,medium_airport,Lydd London Ashford Airport,13,EU,GB,GB-ENG,"Romney Marsh, Kent",EGMD,LYX,EGMD,,"50.956246, 0.939074"
EGNC,medium_airport,Carlisle Lake District Airport,190,EU,GB,GB-ENG,Carlisle,EGNC,CAX,EGNC,,"54.9375, -2.80917"
EGNH,medium_airport,Blackpool International Airport,34,EU,GB,GB-ENG,Blackpool,EGNH,BLK,EGNH,,"53.77170181274414, -3.0286099910736084"
EGNJ,medium_airport,Humberside Airport,121,EU,GB,GB-ENG,"Grimsby, Lincolnshire",EGNJ,HUY,EGNJ,,"53.576152, -0.34954"
EGNL,medium_airport,Barrow Walney Island Airport,173,EU,GB,GB-ENG,Barrow-in-Furness,EGNL,BWF,EGNL,,"54.1286111, -3.2675"
EGNM,medium_airport,Leeds Bradford Airport,681,EU,GB,GB-ENG,"Leeds, West Yorkshire",EGNM,LBA,EGNM,,"53.865898, -1.66057"
EGNO,medium_airport,Warton Aerodrome,55,EU,GB,GB-ENG,Warton,EGNO,WRT,EGNO,,"53.745098, -2.88306"
EGNR,medium_airport,Hawarden Airport,45,EU,GB,GB-WLS,Broughton,EGNR,CEG,EGNR,,"53.178101, -2.97778"
EGNS,medium_airport,Isle of Man Airport,52,EU,IM,IM-U-A,Castletown,EGNS,IOM,EGNS,,"54.083302, -4.62389"
EGNT,medium_airport,Newcastle International Airport,266,EU,GB,GB-ENG,"Newcastle upon Tyne, Tyne and Wear",EGNT,NCL,EGNT,,"55.037958, -1.689577"
EGNV,medium_airport,Teesside International Airport,120,EU,GB,GB-ENG,"Darlington, Durham",EGNV,MME,EGNV,,"54.509201, -1.42941"
EGNX,medium_airport,East Midlands Airport,306,EU,GB,GB-ENG,Nottingham,EGNX,EMA,EGNX,,"52.8311, -1.32806"
EGOV,medium_airport,Anglesey Airport,37,EU,GB,GB-WLS,Angelsey,EGOV,VLY,EGOV,,"53.2481002808, -4.53533983231"
EGPA,medium_airport,Kirkwall Airport,50,EU,GB,GB-SCT,Orkney Islands,EGPA,KOI,EGPA,,"58.957801818847656, -2.9049999713897705"
EGPB,medium_airport,Sumburgh Airport,20,EU,GB,GB-SCT,Lerwick,EGPB,LSI,EGPB,,"59.87889862060547, -1.2955600023269653"
EGPC,medium_airport,Wick Airport,126,EU,GB,GB-SCT,Wick,EGPC,WIC,EGPC,,"58.458900451660156, -3.09306001663208"
EGPD,medium_airport,Aberdeen Dyce Airport,215,EU,GB,GB-SCT,Aberdeen,EGPD,ABZ,EGPD,,"57.2019, -2.19778"
EGPE,medium_airport,Inverness Airport,31,EU,GB,GB-SCT,Inverness,EGPE,INV,EGPE,,"57.54249954223633, -4.047500133514404"
EGPF,large_airport,Glasgow International Airport,26,EU,GB,GB-SCT,"Paisley, Renfrewshire",EGPF,GLA,EGPF,,"55.871899, -4.43306"
EGPH,large_airport,Edinburgh Airport,135,EU,GB,GB-SCT,Edinburgh,EGPH,EDI,EGPH,,"55.950145, -3.372288"
EGPI,medium_airport,Islay Airport,56,EU,GB,GB-SCT,"Isle of Islay, Argyll and Bute",EGPI,ILY,EGPI,,"55.682708, -6.257525"
EGPK,medium_airport,Glasgow Prestwick Airport,65,EU,GB,GB-SCT,"Prestwick, South Ayrshire",EGPK,PIK,EGPK,,"55.502003, -4.587019"
EGPL,medium_airport,Benbecula Airport,19,EU,GB,GB-SCT,Balivanich,EGPL,BEB,EGPL,,"57.48109817504883, -7.3627800941467285"
EGPN,medium_airport,Dundee Airport,17,EU,GB,GB-SCT,Dundee,EGPN,DND,EGPN,,"56.45249938964844, -3.025830030441284"
EGPO,medium_airport,Stornoway Airport,26,EU,GB,GB-SCT,"Stornoway, Western Isles",EGPO,SYY,EGPO,,"58.215599, -6.33111"
EGPR,medium_airport,Barra Airport,5,EU,GB,GB-SCT,Eoligarry,EGPR,BRR,EGPR,,"57.0228, -7.44306"
EGPT,small_airport,Perth/Scone Airport,397,EU,GB,GB-SCT,Perth,EGPT,PSL,EGPT,,"56.439201, -3.37222"
EGPU,medium_airport,Tiree Airport,38,EU,GB,GB-SCT,Balemartine,EGPU,TRE,EGPU,,"56.49919891357422, -6.869170188903809"
EGPW,small_airport,Unst Airport,,EU,GB,GB-SCT,Shetland Islands,EGPW,UNT,EGPW,,"60.7472, -0.85385"
EGQL,medium_airport,Leuchars Station Airfield,38,EU,GB,GB-SCT,"Leuchars, Fife",EGQL,ADX,EGQL,,"56.37398, -2.868862"
EGQS,medium_airport,RAF Lossiemouth,42,EU,GB,GB-SCT,Lossiemouth,EGQS,LMO,EGQS,,"57.7052001953125, -3.339169979095459"
EGSC,medium_airport,Cambridge City Airport,47,EU,GB,GB-ENG,"Cambridge, Cambridgeshire",EGSC,CBG,EGSC,,"52.205002, 0.175"
EGSH,medium_airport,Norwich Airport,117,EU,GB,GB-ENG,"Norwich, Norfolk",EGSH,NWI,EGSH,,"52.6758, 1.28278"
EGSS,large_airport,London Stansted Airport,348,EU,GB,GB-ENG,London,EGSS,STN,EGSS,,"51.884998, 0.235"
EGTB,small_airport,Wycombe Air Park,515,EU,GB,GB-ENG,"Marlow, Buckinghamshire",EGTB,HYC,EGTB,,"51.61177, -0.808316"
EGTE,medium_airport,Exeter International Airport,102,EU,GB,GB-ENG,"Exeter, Devon",EGTE,EXT,EGTE,,"50.734261, -3.413984"
EGTK,medium_airport,Oxford (Kidlington) Airport,270,EU,GB,GB-ENG,"Kidlington, Oxfordshire",EGTK,OXF,EGTK,,"51.836899, -1.32"
EGTO,small_airport,Rochester Airport,436,EU,GB,GB-ENG,"Rochester, Kent",EGTO,RCS,EGTO,,"51.351898, 0.503333"
EGUB,medium_airport,RAF Benson,226,EU,GB,GB-ENG,"Wallingford, Oxfordshire",EGUB,BEX,EGUB,,"51.614366, -1.095991"
EGUL,medium_airport,RAF Lakenheath,32,EU,GB,GB-ENG,"Brandon, Suffolk",EGUL,LKZ,EGUL,,"52.40954, 0.561161"
EGUN,medium_airport,RAF Mildenhall,33,EU,GB,GB-ENG,"Bury Saint Edmunds, Suffolk",EGUN,MHZ,EGUN,,"52.3619, 0.486406"
EGVA,medium_airport,RAF Fairford,286,EU,GB,GB-ENG,"Fairford, Gloucestershire",EGVA,FFD,EGVA,,"51.683568, -1.789172"
EGVN,medium_airport,RAF Brize Norton,288,EU,GB,GB-ENG,"Carterton, Oxfordshire",EGVN,BZZ,EGVN,,"51.75, -1.58362"
EGVO,medium_airport,RAF Odiham,405,EU,GB,GB-ENG,"Hook, Hampshire",EGVO,ODH,EGVO,,"51.2341, -0.942825"
EGWU,medium_airport,RAF Northolt,124,EU,GB,GB-ENG,London,EGWU,NHT,EGWU,,"51.553001, -0.418167"
EGXC,medium_airport,RAF Coningsby,25,EU,GB,GB-ENG,"Lincoln, Lincolnshire",EGXC,QCY,EGXC,,"53.092999, -0.166014"
EGXH,medium_airport,RAF Honington,174,EU,GB,GB-ENG,"Bury Saint Edmunds, Suffolk",EGXH,BEQ,EGXH,,"52.342602, 0.772939"
EGXW,medium_airport,RAF Waddington,231,EU,GB,GB-ENG,"Lincoln, Lincolnshire",EGXW,WTN,EGXW,,"53.166199, -0.523811"
EGYM,medium_airport,RAF Marham,75,EU,GB,GB-ENG,"King's Lynn, Norfolk",EGYM,KNF,EGYM,,"52.648395, 0.550692"
EGYP,medium_airport,Mount Pleasant Airport,244,SA,FK,FK-U-A,Mount Pleasant,EGYP,MPN,EGYP,,"-51.82279968261719, -58.447200775146484"
EHAM,large_airport,Amsterdam Airport Schiphol,-11,EU,NL,NL-NH,Amsterdam,EHAM,AMS,EHAM,,"52.308601, 4.76389"
EHBK,medium_airport,Maastricht Aachen Airport,375,EU,NL,NL-LI,Maastricht,EHBK,MST,EHBK,,"50.911701, 5.77014"
EHEH,large_airport,Eindhoven Airport,74,EU,NL,NL-NB,Eindhoven,EHEH,EIN,EHEH,,"51.4500999451, 5.37452983856"
EHGG,medium_airport,Groningen Airport Eelde,17,EU,NL,NL-DR,Groningen,EHGG,GRQ,EHGG,,"53.119701, 6.57944"
EHGR,medium_airport,Gilze Rijen Air Base,49,EU,NL,NL-NB,Rijen,EHGR,GLZ,EHGR,,"51.567402, 4.93183"
EHKD,medium_airport,De Kooy Airfield / Den Helder Naval Air Station,3,EU,NL,NL-NH,Den Helder,EHKD,DHR,EHKD,,"52.923401, 4.78062"
EHLE,medium_airport,Lelystad Airport,-13,EU,NL,NL-FL,Lelystad,EHLE,LEY,EHLE,,"52.453188, 5.514622"
EHLW,medium_airport,Leeuwarden Air Base,3,EU,NL,NL-FR,Leeuwarden,EHLW,LWR,EHLW,,"53.228599548339844, 5.760560035705566"
EHRD,medium_airport,Rotterdam The Hague Airport,-15,EU,NL,NL-ZH,Rotterdam,EHRD,RTM,EHRD,,"51.956902, 4.43722"
EHTW,medium_airport,Twente Airport,114,EU,NL,NL-OV,Enschede,EHTW,ENS,EHTW,,"52.275833, 6.889167"
EHVK,medium_airport,Volkel Air Base,72,EU,NL,NL-NB,Uden,EHVK,UDE,EHVK,,"51.657222, 5.707778"
EHWO,medium_airport,Woensdrecht Air Base,63,EU,NL,NL-NB,Hoogerheide,EHWO,WOE,EHWO,,"51.4491, 4.34203"
EIBN,small_airport,Bantry Aerodrome,7,EU,IE,IE-CO,Bantry,EIBN,BYT,EIBN,,"51.6772, -9.487123"
EIBT,small_airport,Belmullet Aerodrome,150,EU,IE,IE-MO,Belmullet,EIBT,BLY,EIBT,,"54.2228012085, -10.0307998657"
EICA,small_airport,Connemara Regional Airport,70,EU,IE,IE-G,Inverin,EICA,NNR,EICA,,"53.23030090332031, -9.467780113220215"
EICK,medium_airport,Cork Airport,502,EU,IE,IE-CO,Cork,EICK,ORK,EICK,,"51.841301, -8.49111"
EICM,medium_airport,Galway Airport,81,EU,IE,IE-G,Galway,EICM,GWY,EICM,,"53.300201, -8.94159"
EIDL,medium_airport,Donegal Airport,30,EU,IE,IE-DL,Donegal,EIDL,CFN,EIDL,,"55.0442008972168, -8.340999603271484"
EIDW,large_airport,Dublin Airport,242,EU,IE,IE-D,Dublin,EIDW,DUB,EIDW,,"53.428713, -6.262121"
EIIM,small_airport,Inishmore Aerodrome,24,EU,IE,IE-G,Inis M?r,EIIM,IOR,EIIM,,"53.1067008972168, -9.653610229492188"
EIIR,small_airport,Inisheer Aerodrome,40,EU,IE,IE-G,Inis O?rr,EIIR,INQ,EIIR,,"53.064701, -9.5109"
EIKK,small_airport,Kilkenny Airport,319,EU,IE,IE-KK,Kilkenny,EIKK,KKY,EIKK,,"52.65079879760742, -7.296110153198242"
EIKN,medium_airport,Ireland West Knock Airport,665,EU,IE,IE-MO,Charlestown,EIKN,NOC,EIKN,,"53.910301, -8.81849"
EIKY,medium_airport,Kerry Airport,112,EU,IE,IE-KY,Killarney,EIKY,KIR,EIKY,,"52.180901, -9.52378"
EILT,small_airport,Letterkenny Airfield,20,EU,IE,IE-DL,Letterkenny,EILT,LTR,EILT,,"54.951302, -7.67283"
EIMN,small_airport,Inishmaan Aerodrome,15,EU,IE,IE-G,Inis Me?in,EIMN,IIA,EIMN,,"53.092999, -9.56806"
